,person,total,view_complete_tran,noview_complete_tran,gender,age,became_member_on,income,receive,rec_bogo,rec_discount,rec_informational,comp,view_comp,noview_comp,vc_bogo,vc_discount,vc_informational,ae264e3637204a6fb9bb56bc8210ddfd,4d5c57ea9a6940dd891ad53e9dbe8da0,3f207df678b143eea3cee63160fa8bed,9b98b8c7a33c4b65b9aebfe6a799e6d9,0b1e1539f2cc45b7b9fa7c272da2e1d7,2298d6c36e964ae4a3e7e9706d1fb8c2,fafdcd668e3743c1bb461111dcafc2a4,5a8bc65990b245e5a138643cd4eb9837,f19421c1d4aa40978ebb69ca19b0e20d,2906b810c7d4411798c6938adc9daaa5
24,00ae03011f9f49b8a4b3e6d416678b0b,218.05,84.36,133.69,M,55,735917,83000.0,6,2,3,1,4,4,0,2,2,0,2,0,0,0,0,2,0,0,0,0
25,00aee28bbb3848dd8a31f0c91dc267dd,20.53,0.0,20.53,M,21,736700,59000.0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,00b18b535d6d4f779dea4dc9ac451478,133.25,74.98,58.27,M,72,736426,102000.0,5,1,3,1,3,3,0,0,3,0,0,0,0,0,0,2,1,0,0,0
27,00b3400e4ff64ee68ce9ada1d0c222f0,163.92,22.28,141.64,M,62,736201,80000.0,5,1,2,2,3,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0
28,00b3c376db2a4115af3aef34a02f61d6,219.63,48.82,170.81,M,50,736507,104000.0,3,2,1,0,3,2,1,2,0,0,1,1,0,0,0,0,0,0,0,0
29,00b5fb9d842d437e83033ad9e36f7148,7.74,0.0,7.74,,118,736721,,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,00b901d68f8f4fd68075184cd0f772d2,53.55,0.0,53.55,F,68,736867,76000.0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,00bbce6533f44ddeaf4dd32bcab55441,77.21,30.57,46.64,M,94,735565,50000.0,4,1,2,1,3,3,0,1,2,0,0,0,0,1,0,0,1,0,0,1
32,00bc42a62f884b41a13cc595856cf7c3,150.64,66.69,83.95,M,44,735974,72000.0,5,1,4,0,5,4,1,1,3,0,1,0,0,0,0,1,1,0,0,1
33,00bc983061d3471e8c8e74d31b7c8b6f,63.5,14.11,49.39,M,59,736618,77000.0,4,2,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
34,00c20a9202d5475190b31a24de6fb06d,164.01,83.62,80.39,O,52,736029,80000.0,4,2,2,0,4,4,0,2,2,0,0,1,0,0,1,1,0,0,1,0
35,00c2f812f4604c8893152a5c6572030e,124.09,37.18,86.91,F,58,736875,102000.0,5,3,2,0,3,2,1,1,1,0,0,1,0,0,0,0,1,0,0,0
36,00c32a104f0c4065b5b552895fb22e34,6.98,0.0,6.98,M,33,736685,42000.0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,00c5a385c71a4d3db5e9b4e31e430943,2.59,0.0,2.59,M,28,736605,35000.0,6,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,00c6035df45840038a72766c6d27a0db,241.55,57.44,184.11,M,47,736385,86000.0,4,1,2,1,3,3,0,1,2,0,1,0,0,0,0,1,1,0,0,0
39,00c91f31f5f74e769fa7a359b63e1a9f,134.74,36.21,98.53,F,22,736283,49000.0,5,0,3,2,3,3,0,0,3,0,0,0,0,0,0,2,1,0,0,0
40,00ceaf16a40341e6996d543d04daa2c2,26.98,0.0,26.98,M,34,736833,38000.0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,00cf1bbec83f4a658f8994e556db4633,64.27,33.28,30.99,M,53,736829,73000.0,3,0,3,0,2,2,0,0,2,0,0,0,0,0,0,0,1,0,0,1
42,00cf471ed1aa42a8bdde5561d67da2b1,26.18,0.0,26.18,M,53,736722,40000.0,5,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,00d6dc87be4146ceb47fcd4baaaf6477,334.64,127.27,207.37,F,58,736674,115000.0,6,3,2,1,5,4,1,3,1,0,0,1,0,1,0,0,1,0,1,0
44,00d791e20c564add8056498e40eb56cc,59.62,23.75,35.87,M,22,735956,32000.0,5,3,1,1,4,4,0,3,1,0,0,1,0,1,0,1,0,0,1,0
45,00d7c95f793a4212af44e632fdc1e431,162.42,72.91,89.51,M,71,736327,75000.0,5,2,3,0,5,3,2,2,1,0,0,1,0,1,0,0,1,0,0,0
46,00d91c5919514448bc4f718e4e3f26ab,44.6,25.38,19.22,M,45,736719,88000.0,5,2,2,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
47,00e20b4ca129458aaab0f4727ef3513a,191.55,135.37,56.18,F,82,735578,33000.0,3,1,2,0,2,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0
48,00e52682848542c3a6f59b7824e9a5c5,23.07,7.32,15.75,M,40,736255,65000.0,5,2,2,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
49,00e8d701c583461e81cc10053681a12b,30.98,2.98,28.0,M,35,736751,70000.0,4,1,2,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
50,00e9f403afa641889cd034ee7c7ca6e9,614.59,36.2,578.39,M,73,736071,45000.0,5,0,3,2,3,3,0,0,3,0,0,0,0,0,2,1,0,0,0,0
51,00ed7e22b32749cfafbfd88592d401d4,236.96,38.16,198.8,M,55,736176,94000.0,4,2,2,0,3,2,1,1,1,0,0,0,0,1,0,0,1,0,0,0
52,00ee2ca6421c4af0aeca60a1b3e00f6c,4.03,0.0,4.03,M,60,736557,74000.0,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,00ee69db83964d6da32f8109b32a1ce7,15.79,0.0,15.79,M,45,736708,52000.0,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,00fac72fd6ad448e8019b175267023df,186.23,88.07,98.16,M,57,736434,80000.0,4,2,2,0,4,4,0,2,2,0,2,0,0,0,2,0,0,0,0,0
55,00fbb9b5edb94f02afbaf1eb49bb4d7d,80.1,31.96,48.14,F,56,736748,91000.0,3,2,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
56,00fdd4416dec40b49180814c0a7c8d76,76.65,31.16,45.49,M,55,736283,104000.0,3,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
57,0100dbd4e8554aa69b73b6ac0547f6bf,6.55,0.0,6.55,,118,736691,,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0103de989e084e0fab400e80678d7591,144.97,50.51,94.46,M,19,736170,50000.0,5,2,3,0,5,3,2,2,1,0,0,0,0,0,0,0,1,0,2,0
59,0106d19a26af41288035afc4b9b6c2c2,21.24,6.64,14.6,,118,736087,,5,1,0,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
60,01162252405b4524a8fa1bf8e6d5f04b,129.86,21.41,108.45,F,68,736416,32000.0,6,2,3,1,4,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0
61,01176ee7289b48e39ee6261d5c071a07,20.2,0.0,20.2,M,52,736815,38000.0,4,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0118fbb66dd2443a9dd407d2c99a7672,64.04,0.0,64.04,M,57,736562,55000.0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0121fe001b7a404fa9cbe486f8944baf,191.68,31.4,160.28,F,86,736796,109000.0,6,3,2,1,3,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0
64,0123564dbaf144a88a418c33b6350c17,176.74,21.74,155.0,F,54,736589,117000.0,5,2,1,2,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
65,012ee55a90bd4d969b0d0cdfaffdf6ab,9.98,0.0,9.98,,118,736674,,6,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,013094309e1b49e095c098df412d125d,69.18,24.66,44.52,M,58,735530,54000.0,5,3,2,0,3,3,0,1,2,0,0,0,0,0,0,1,0,0,1,1
67,01380da907f8495496679c795867790b,154.99,32.03,122.96,F,86,736502,73000.0,4,3,0,1,2,2,0,2,0,0,0,1,0,0,0,0,0,0,1,0
68,013f2c82889f4641a9b847a48861cce0,186.54,59.42,127.12,M,67,736562,79000.0,4,2,1,1,3,3,0,2,1,0,0,0,0,0,1,0,0,0,2,0
69,0141d3870a424c03a20390040efad826,6.32,0.0,6.32,M,70,736754,60000.0,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,01443a2afce54939a323c978f467c540,417.93,154.41,263.52,F,61,735881,118000.0,5,3,2,0,5,5,0,3,2,0,1,0,0,1,1,0,1,0,1,0
71,014899c751254a62a96ce676eb11ddc2,287.11,62.27,224.84,F,52,736047,115000.0,6,1,2,3,3,2,1,0,2,0,0,0,0,0,0,0,2,0,0,0
72,0155a21497d54684a55c3bc609843768,7.94,0.0,7.94,,118,736059,,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0157e63b39c5456393026c6c03f3d84a,199.65,65.67,133.98,F,70,736642,76000.0,3,2,1,0,3,3,0,2,1,0,0,1,0,0,1,0,0,0,1,0
74,015c3d28c67e46aa95e9ec97c27220e8,235.41,94.67,140.74,M,56,736045,99000.0,5,1,4,0,5,5,0,1,4,0,1,0,0,0,0,1,2,0,0,1
75,015ef929e016415098eeae8ce59da721,18.28,5.1,13.18,F,44,736347,35000.0,5,0,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
76,015fb0b3fbaa4aceb910fbdf272f7547,14.29,0.0,14.29,M,46,736885,35000.0,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,016086228d58476599d0b47881c25509,83.2,24.34,58.86,F,84,736616,74000.0,4,1,2,1,2,2,0,0,2,0,0,0,0,0,1,0,0,0,0,1
78,01613170f679422a8acfa96f0f19fdf2,10.33,0.0,10.33,M,22,736770,57000.0,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,01633b71b3a2457aa7d35d8bcc3afb5a,161.51,59.12,102.39,M,62,735843,90000.0,4,2,2,0,4,4,0,2,2,0,2,0,0,0,1,0,1,0,0,0
80,016871ea865d4338975026ae08d221d0,45.79,0.0,45.79,F,57,736846,79000.0,6,1,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
81,016b37032984457fb33ba2767fcc8c9f,55.18,0.0,55.18,M,24,735371,56000.0,5,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,016edb1d1d67477391c5337545a5d98a,131.05,29.23,101.82,F,66,735961,57000.0,6,0,3,3,3,2,1,0,2,0,0,0,0,0,0,0,2,0,0,0
83,017160c1cdb845d48abec3c330b4427e,198.09,18.81,179.28,F,68,735946,76000.0,4,1,2,1,3,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0
84,01772eae932447f9a853461a60820dc6,58.28,8.78,49.5,F,54,736523,30000.0,4,3,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
85,01784d3e205548a594ba3fcdbdaaf17d,151.83,24.67,127.16,M,20,735965,43000.0,4,2,1,1,3,2,1,2,0,0,1,1,0,0,0,0,0,0,0,0
86,017a93d1204f457bbe85f5e7de062b56,110.52,21.28,89.24,M,56,736639,35000.0,5,1,2,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0,1,1
87,017febbe52e64ac19cf28cf0d44386e4,1003.41,781.22,222.19,M,61,735839,100000.0,6,2,2,2,3,3,0,2,1,0,1,0,0,1,0,1,0,0,0,0
88,01873cc8de734961949af7c04b2e9872,50.55,5.73,44.82,M,72,736716,45000.0,5,2,2,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
89,01887dcd32b64feb807e2436548b6c87,64.33,25.04,39.29,M,61,736616,78000.0,6,2,1,3,2,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0
90,018a49ffb8cf4812903e7c1f56fbb0b0,98.65,34.98,63.67,M,61,736300,34000.0,5,4,0,1,4,4,0,4,0,0,0,0,0,1,0,0,0,0,3,0
91,018b8f83176d471db63d9733c741fc8a,37.04,37.04,0.0,F,75,736816,109000.0,2,2,0,0,2,2,0,2,0,0,0,0,0,1,0,0,0,0,1,0
92,01925607d99c460996c281f17cdbb9e2,54.62,54.62,0.0,F,57,735921,116000.0,4,4,0,0,3,2,1,2,0,0,0,1,0,0,0,0,0,0,1,0
93,0193c118afe84208b33ffeb1dcb277d8,6.05,0.0,6.05,,118,736811,,6,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,01956670cf414b309675aa73368b94a9,248.65,92.8,155.85,M,52,736201,95000.0,5,2,3,0,5,4,1,2,2,0,1,1,0,0,0,1,0,0,0,1
95,0196d2062b8d4d019b8d96292266e8a4,61.12,0.0,61.12,F,60,736775,51000.0,4,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0199681637524988a14245632b8376af,222.96,66.06,156.9,F,74,736663,72000.0,4,3,1,0,4,3,1,3,0,0,1,1,0,0,0,0,0,0,1,0
97,019be0c6f8fd4000b1967c7308b4bdf4,141.2,19.26,121.94,F,23,735910,33000.0,5,3,2,0,3,2,1,0,2,0,0,0,0,0,0,0,1,0,0,1
98,019cc78d8fed432ca6df71c132c72a99,16.48,0.0,16.48,M,27,736885,39000.0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,019ed95d987446e3947da0246cdab831,515.09,22.41,492.68,M,59,736525,76000.0,3,1,2,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
100,01a202a9021e40aeaa5451a5d134c16c,156.05,37.66,118.39,F,74,736279,91000.0,4,1,1,2,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
101,01a5e8b57bc04e0292525f3e2817fa17,57.1,17.76,39.34,M,55,736584,79000.0,3,2,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
102,01ab25c31f034f85bc4ac9d286fb7a76,644.29,626.36,17.93,F,87,736892,77000.0,4,3,1,0,4,4,0,3,1,0,1,0,0,2,0,0,1,0,0,0
103,01ac633821f0498893320b41b5b22dfc,251.46,91.86,159.6,F,53,735901,88000.0,6,3,2,1,5,4,1,3,1,0,2,0,0,1,0,0,1,0,0,0
104,01b6d7e8f0884deb936a8a7f15dba895,162.9,40.22,122.68,M,48,735095,52000.0,5,1,4,0,4,4,0,1,3,0,0,1,0,0,0,0,1,0,0,2
105,01d26f638c274aa0b965d24cefe3183f,39.74,0.0,39.74,M,49,736355,73000.0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,01d7da27b8934ba1b3602a0153e4415f,0.0,0.0,0.0,F,44,736765,76000.0,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,01de69b5edab4b89859ea8a7214ba35a,765.88,660.84,105.04,F,53,736442,84000.0,4,0,2,2,2,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0
108,01e09d713abe4a36a70a33fe4b40534e,86.26,19.58,66.68,F,60,735834,74000.0,4,1,2,1,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
109,01e57718fc6b49b2875a9c02b32905b1,101.19,24.29,76.9,F,29,736309,31000.0,4,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
110,01e8739670a042b3877f8e843bdf55a7,181.16,49.42,131.74,F,54,735895,119000.0,5,1,2,2,2,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0
111,01e91c5bc14148b2a4de0ce819e4c500,13.08,7.35,5.73,,118,736443,,6,1,5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
112,01e97a4633bf4963838a4aa9ed1dce3e,17.96,0.0,17.96,F,20,736575,43000.0,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,01ef4c6618b64334a15914ff9963eaac,135.58,18.38,117.2,F,70,736642,92000.0,4,0,3,1,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
114,01f33ff554d0443a9841adfd66d253f6,53.92,16.17,37.75,F,69,736683,79000.0,4,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
115,01f46a5191424005af436cdf48a5da7c,166.59,40.49,126.1,O,63,735861,89000.0,2,2,0,0,2,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0
116,01f663b988964a4caca8b19abecb551d,97.64,14.56,83.08,F,62,736480,62000.0,4,0,2,2,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
117,01fe5ec668f241608eb2f7ec374cb1b7,161.89,0.0,161.89,M,44,736543,64000.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,01ff6c5d8d014dbd8c120e2b43a065ea,139.41,18.52,120.89,F,54,736421,58000.0,6,4,1,1,4,3,1,3,0,0,0,0,0,2,0,0,0,0,1,0
119,0200f61c69da4c2ea078842cdaf234e6,195.01,80.0,115.01,M,64,736308,76000.0,6,1,5,0,6,5,1,1,4,0,0,1,0,0,0,1,0,0,0,3
120,020354b1aea342cbaa018993f68fba68,7.67,6.78,0.89,,118,736582,,5,0,5,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
121,0206e1388c34454caba2b7fce3123943,71.95,37.48,34.47,M,39,736484,71000.0,4,2,0,2,2,2,0,2,0,0,0,1,0,0,0,0,0,0,1,0
122,020be6e9805649858595dfbaab15ccd7,44.69,7.36,37.33,M,67,735970,39000.0,6,3,2,1,3,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0
123,020be8b0fafa446ebcce6449b20bc92c,34.88,0.0,34.88,M,59,735767,42000.0,5,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
124,020c2d7b3d1b4d24b9502626b2d7ef46,20.94,0.0,20.94,,118,736018,,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,020cd0f8047142e18a754303f9337d53,232.9,75.42,157.48,F,83,736827,67000.0,5,2,2,1,4,4,0,2,2,0,0,0,0,1,0,0,1,0,1,1
126,020d3a52b9ce432ea5f98fc58e9bfcc4,16.93,0.0,16.93,,118,736615,,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,020d72e77c704c42bb0a858c1aaa3bcd,252.14,40.62,211.52,F,68,736506,57000.0,5,2,1,2,3,3,0,2,1,0,0,1,0,0,1,0,0,0,1,0
128,0215efe5136d4a038cb81eae92d59368,767.29,40.86,726.43,F,58,735918,64000.0,5,1,3,1,4,4,0,1,3,0,0,0,0,0,1,1,1,0,1,0
129,021616b8deea46438e3badc7fca5894d,218.51,63.67,154.84,M,28,736316,64000.0,3,1,2,0,3,3,0,1,2,0,0,1,0,0,0,1,1,0,0,0
130,0217c4393fd54e74a523b63c0fcc3da5,230.21,31.57,198.64,M,70,736043,64000.0,4,3,1,0,4,2,2,2,0,0,0,1,0,0,0,0,0,0,1,0
131,0218964095c94da0bfac44cf40c9343f,223.7,14.88,208.82,M,77,735638,94000.0,3,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
132,021adce38ab34ede96422ae107643fd5,247.26,28.53,218.73,M,57,736424,65000.0,6,0,4,2,3,3,0,0,3,0,0,0,0,0,0,1,0,0,0,2
133,021c1940868647efbcb40ccdb942813b,86.28,58.43,27.85,F,46,735650,73000.0,6,4,2,0,5,5,0,4,1,0,1,0,0,1,0,0,1,0,2,0
134,0222d267445f4f078bc325224e471766,23.17,3.9,19.27,M,64,736696,43000.0,4,2,2,0,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
135,0223ed57fef54575ac0b256937dc68fa,14.8,0.0,14.8,,118,736504,,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,0225045e245f4b7289cc55c0b5870ae2,59.09,10.8,48.29,F,42,736584,50000.0,5,3,1,1,3,2,1,1,1,0,1,0,0,0,0,0,1,0,0,0
137,022f5553a0704b53ba26f2d23cb1234d,371.91,52.26,319.65,F,46,736407,62000.0,5,1,4,0,5,3,2,1,2,0,0,0,0,0,0,0,2,0,1,0
138,0231c913a51e420783be6bdeb75aa842,34.01,18.72,15.29,F,28,736714,65000.0,5,2,2,1,3,3,0,1,2,0,0,0,0,0,0,2,0,0,1,0
139,023411b8a45a4715979dae6cec425a8b,21.57,1.52,20.05,M,61,736837,59000.0,6,1,1,4,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
140,023a42cf62f742b795a975d56955e220,50.09,10.04,40.05,M,38,736568,66000.0,4,0,3,1,2,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0
141,023fd15e56184ec19e23ed5a31c87543,28.0,0.0,28.0,M,21,736610,53000.0,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,024218e67fa549a4a0a99b32b7b6fbf9,193.38,82.68,110.7,M,54,736761,70000.0,4,2,2,0,4,4,0,2,2,0,1,1,0,0,0,2,0,0,0,0
143,0246e7cc7a3d4a98a940cb13776b5b55,47.45,2.67,44.78,M,70,735602,65000.0,5,0,3,2,2,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0
144,0246f8fdf0b64014a98822b70231c58d,89.37,18.67,70.7,F,81,736785,79000.0,6,2,2,2,2,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0
145,0247953d899b4a99acab74fa0a807c0f,22.65,0.0,22.65,M,77,736710,53000.0,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,0251876076024444864473545adce065,27.9,8.98,18.92,M,74,736005,36000.0,4,2,2,0,2,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0
147,0252aa6f0dee4585ba886945c60f48f5,10.36,0.0,10.36,F,49,736720,58000.0,6,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,02557fafcf334c30a22c312c5647f71a,17.18,0.0,17.18,M,45,736800,43000.0,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,026876bc8c6a4e0c8e330342c92cc844,26.38,0.0,26.38,F,49,736661,74000.0,5,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,027561a162a54d86b6d45af5071c4d27,9.34,6.71,2.63,,118,736654,,6,3,1,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
151,027596e6ed19471392923eb833b25fd3,14.86,5.99,8.87,M,35,736570,64000.0,4,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
152,02765747959045a0a7c452888b2f31eb,49.29,0.0,49.29,F,62,736874,40000.0,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
